Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating;mean;std;threshold;max;min;Condition_2;Condition_1
110-48-7033;B;Mandalay;Member;Male;Fashion accessories;32.62;4;6.524;137.004;1/29/2019;14:12:00.0;Cash;130.48;4.761904762;6.524;9.0;293.047125;247.75484160291904;743.2645248087572;1036.3116498087572;0;True;True
114-35-5271;B;Mandalay;Normal;Female;Electronic accessories;57.91;8;23.164;486.444;2/7/2019;15:06:00.0;Cash;463.28;4.761904762;23.164;8.1;361.410525;255.47559339553743;766.4267801866123;1127.8373051866124;0;True;True
115-38-7388;C;Naypyitaw;Member;Female;Fashion accessories;10.18;8;4.072;85.512;3/30/2019;12:51:00.0;Credit card;81.44;4.761904762;4.072;9.5;407.91450000000003;236.7381595485823;710.2144786457469;1118.1289786457469;0;True;True
115-99-4379;B;Mandalay;Member;Female;Fashion accessories;54.73;7;19.1555;402.2655;3/14/2019;19:02:00.0;Credit card;383.11;4.761904762;19.1555;8.5;400.813;294.51372163684044;883.5411649105213;1284.3541649105214;0;True;True
118-62-1812;C;Naypyitaw;Member;Female;Home and lifestyle;78.38;4;15.676;329.196;3/24/2019;17:56:00.0;Cash;313.52;4.761904762;15.676;7.9;316.1330454545454;206.7295037045335;620.1885111136005;936.321556568146;0;True;True
120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories;30.61;6;9.183;192.843;3/12/2019;20:36:00.0;Cash;183.66;4.761904762;9.183;9.3;306.462625;211.61838859329754;634.8551657798926;941.3177907798926;0;True;True
120-54-2248;B;Mandalay;Normal;Female;Food and beverages;28.86;5;7.215000000000001;151.515;1/22/2019;18:08:00.0;Credit card;144.3;4.761904762;7.215;8.0;243.53849999999997;223.68056157386582;671.0416847215974;914.5801847215974;0;True;True
122-61-9553;C;Naypyitaw;Normal;Female;Electronic accessories;51.32;9;23.094;484.974;3/14/2019;19:33:00.0;Cash;461.88;4.761904762;23.094;5.6;400.813;294.51372163684044;883.5411649105213;1284.3541649105214;0;True;True
123-19-1176;A;Yangon;Member;Male;Health and beauty;58.22;8;23.288;489.048;1/27/2019;20:33:00.0;Ewallet;465.76;4.761904762;23.288;8.4;331.1355;194.24026289109062;582.7207886732718;913.8562886732718;0;True;True
123-35-4896;C;Naypyitaw;Normal;Female;Sports and travel;46.66;9;20.997;440.937;2/17/2019;19:11:00.0;Ewallet;419.94;4.761904762;20.997;5.3;407.6592692307692;265.8238849072677;797.4716547218031;1205.1309239525724;0;True;True
124-31-1458;A;Yangon;Member;Female;Electronic accessories;79.59;3;11.938500000000001;250.7085;1/8/2019;14:30:00.0;Cash;238.77;4.761904762;11.9385;6.6;294.09625;237.65808106409125;712.9742431922738;1007.0704931922737;0;True;True
125-45-2293;A;Yangon;Normal;Female;Fashion accessories;99.1;6;29.729999999999997;624.33;1/19/2019;13:11:00.0;Cash;594.6;4.761904762;29.73;4.2;307.17028125;192.9837166062609;578.9511498187827;886.1214310687827;0;True;True
126-54-1082;A;Yangon;Member;Female;Home and lifestyle;21.54;9;9.693;203.553;1/7/2019;11:44:00.0;Credit card;193.86;4.761904762;9.693;8.8;314.91599999999994;191.95720324642025;575.8716097392607;890.7876097392607;0;True;True
127-47-6963;A;Yangon;Normal;Male;Health and beauty;51.71;4;10.342;217.182;3/9/2019;13:53:00.0;Credit card;206.84;4.761904762;10.342;9.8;467.1279375;283.7113581800392;851.1340745401176;1318.2620120401175;0;True;True
129-29-8530;A;Yangon;Member;Male;Sports and travel;62.62;5;15.655;328.755;3/10/2019;19:15:00.0;Ewallet;313.1;4.761904762;15.655;7.0;263.6025;258.70254556308134;776.107636689244;1039.710136689244;0;True;True
130-67-4723;A;Yangon;Member;Male;Food and beverages;48.5;6;14.55;305.55;1/11/2019;13:57:00.0;Ewallet;291.0;4.761904762;14.55;9.4;264.3703125;168.9255840400774;506.77675212023223;771.1470646202322;0;True;True
130-98-8941;C;Naypyitaw;Normal;Male;Fashion accessories;64.26;7;22.491000000000003;472.311;2/9/2019;10:00:00.0;Cash;449.82;4.761904762;22.491;5.7;251.68419230769229;238.62635091389373;715.8790527416812;967.5632450493736;0;True;True
131-15-8856;C;Naypyitaw;Member;Female;Food and beverages;72.52;8;29.008;609.168;3/30/2019;19:26:00.0;Credit card;580.16;4.761904762;29.008;4.0;407.91450000000003;236.7381595485823;710.2144786457469;1118.1289786457469;0;True;True
131-70-8179;A;Yangon;Member;Female;Health and beauty;92.09;3;13.8135;290.0835;2/17/2019;16:27:00.0;Cash;276.27;4.761904762;13.8135;4.2;407.6592692307692;265.8238849072677;797.4716547218031;1205.1309239525724;0;True;True
132-23-6451;A;Yangon;Member;Male;Health and beauty;20.97;5;5.2425;110.0925;1/4/2019;13:21:00.0;Cash;104.85;4.761904762;5.2425;7.8;270.61475;209.325986094596;627.977958283788;898.5927082837879;0;True;True
132-32-9879;B;Mandalay;Member;Female;Electronic accessories;93.96;4;18.791999999999998;394.632;3/9/2019;18:00:00.0;Cash;375.84;4.761904762;18.792;9.5;467.1279375;283.7113581800392;851.1340745401176;1318.2620120401175;0;True;True
133-14-7229;C;Naypyitaw;Normal;Male;Health and beauty;62.87;2;6.287;132.027;1/1/2019;11:43:00.0;Cash;125.74;4.761904762;6.287;5.0;395.43175;263.0563902816709;789.1691708450126;1184.6009208450125;0;True;True
133-77-3154;B;Mandalay;Member;Male;Fashion accessories;60.18;4;12.036000000000001;252.756;2/16/2019;18:04:00.0;Credit card;240.72;4.761904762;12.036;9.4;312.970875;223.55562133644727;670.6668640093418;983.6377390093418;0;True;True
134-54-4720;B;Mandalay;Normal;Female;Electronic accessories;42.42;8;16.968;356.328;1/30/2019;13:58:00.0;Ewallet;339.36;4.761904762;16.968;5.7;284.2513333333333;327.1937582199002;981.5812746597005;1265.832607993034;0;True;True
134-75-2619;A;Yangon;Member;Male;Electronic accessories;19.32;7;6.7620000000000005;142.002;3/25/2019;18:51:00.0;Cash;135.24;4.761904762;6.762;6.9;252.55183333333332;169.84542196877138;509.53626590631416;762.0880992396475;0;True;True
135-13-8269;B;Mandalay;Member;Female;Food and beverages;78.88;2;7.888;165.648;1/26/2019;16:04:00.0;Cash;157.76;4.761904762;7.888;9.1;262.2066176470588;203.91742189261083;611.7522656778325;873.9588833248913;0;True;True
135-84-8019;A;Yangon;Normal;Female;Fashion accessories;77.93;9;35.06850000000001;736.4385;2/27/2019;16:10:00.0;Ewallet;701.37;4.761904762;35.0685;7.6;418.53225000000003;274.8138482604564;824.4415447813692;1242.9737947813692;0;True;True
136-08-6195;A;Yangon;Normal;Female;Home and lifestyle;69.96;8;27.983999999999998;587.664;2/15/2019;17:01:00.0;Credit card;559.68;4.761904762;27.984;6.4;359.5150263157895;282.0954066548464;846.2862199645392;1205.8012462803288;0;True;True
137-63-5492;C;Naypyitaw;Normal;Male;Electronic accessories;58.76;10;29.380000000000003;616.98;1/29/2019;14:26:00.0;Ewallet;587.6;4.761904762;29.38;9.0;293.047125;247.75484160291904;743.2645248087572;1036.3116498087572;0;True;True
137-74-8729;C;Naypyitaw;Normal;Female;Fashion accessories;12.19;8;4.876;102.396;3/13/2019;12:47:00.0;Ewallet;97.52;4.761904762;4.876;6.8;206.3607;145.04503717604408;435.13511152813226;641.4958115281322;0;True;True
138-17-5109;A;Yangon;Member;Female;Home and lifestyle;89.21;9;40.1445;843.0345;1/15/2019;15:42:00.0;Credit card;802.89;4.761904762;40.1445;6.5;457.25076923076927;309.71964871931726;929.1589461579517;1386.409715388721;0;True;True
139-20-0155;B;Mandalay;Member;Male;Electronic accessories;40.3;10;20.150000000000002;423.15;1/24/2019;17:37:00.0;Credit card;403.0;4.761904762;20.15;7.0;415.54234615384615;254.7916062781655;764.3748188344964;1179.9171649883426;0;True;True
139-32-4183;A;Yangon;Member;Female;Sports and travel;97.48;9;43.86600000000001;921.186;3/14/2019;14:19:00.0;Ewallet;877.32;4.761904762;43.866;7.4;400.813;294.51372163684044;883.5411649105213;1284.3541649105214;0;True;True
139-52-2867;C;Naypyitaw;Normal;Female;Fashion accessories;22.51;7;7.878500000000002;165.4485;2/13/2019;10:50:00.0;Credit card;157.57;4.761904762;7.8785;4.8;116.7796875;54.68483076485884;164.0544922945765;280.83417979457647;0;True;True
142-63-6033;B;Mandalay;Normal;Male;Home and lifestyle;92.36;5;23.090000000000003;484.89;3/20/2019;19:17:00.0;Ewallet;461.8;4.761904762;23.09;4.9;363.8803;265.86313660669464;797.5894098200839;1161.4697098200838;0;True;True
142-72-4741;C;Naypyitaw;Member;Male;Fashion accessories;93.2;2;9.32;195.72;2/28/2019;18:37:00.0;Credit card;186.4;4.761904762;9.32;6.0;349.503;247.48751089943912;742.4625326983173;1091.9655326983172;0;True;True
144-51-6085;A;Yangon;Member;Male;Home and lifestyle;70.74;4;14.148;297.108;1/5/2019;16:05:00.0;Credit card;282.96;4.761904762;14.148;4.4;294.723625;211.339828681431;634.019486044293;928.7431110442931;0;True;True
145-94-9061;B;Mandalay;Normal;Female;Food and beverages;88.36;5;22.090000000000003;463.89;1/25/2019;19:48:00.0;Cash;441.8;4.761904762;22.09;9.6;276.4921764705882;235.52323437627263;706.5697031288179;983.0618795994061;0;True;True
146-09-5432;A;Yangon;Member;Male;Food and beverages;35.04;9;15.768;331.128;2/9/2019;19:17:00.0;Ewallet;315.36;4.761904762;15.768;4.6;251.68419230769229;238.62635091389373;715.8790527416812;967.5632450493736;0;True;True
148-41-7930;C;Naypyitaw;Normal;Male;Health and beauty;99.96;7;34.986;734.706;1/23/2019;10:33:00.0;Cash;699.72;4.761904762;34.986;6.1;352.5992647058824;255.07323188168175;765.2196956450452;1117.8189603509277;0;True;True
148-82-2527;C;Naypyitaw;Member;Female;Home and lifestyle;12.12;10;6.06;127.26;3/5/2019;13:44:00.0;Credit card;121.2;4.761904762;6.06;8.4;366.5222647058823;250.589063318259;751.767189954777;1118.2894546606594;0;True;True
149-14-0304;C;Naypyitaw;Member;Female;Health and beauty;28.5;8;11.4;239.4;2/6/2019;14:24:00.0;Cash;228.0;4.761904762;11.4;6.6;223.49411538461538;115.00471730019633;345.014151900589;568.5082672852044;0;True;True
149-15-7606;B;Mandalay;Member;Male;Sports and travel;37.32;9;16.794;352.674;3/6/2019;15:31:00.0;Ewallet;335.88;4.761904762;16.794;5.1;281.14513636363637;200.05629593468072;600.1688878040421;881.3140241676786;0;True;True
149-61-1929;A;Yangon;Normal;Male;Sports and travel;64.19;10;32.095;673.995;1/19/2019;14:08:00.0;Credit card;641.9;4.761904762;32.095;6.7;307.17028125;192.9837166062609;578.9511498187827;886.1214310687827;0;True;True
149-71-6266;B;Mandalay;Member;Male;Sports and travel;78.07;9;35.131499999999996;737.7615;1/28/2019;12:43:00.0;Cash;702.63;4.761904762;35.1315;4.5;357.12225;288.03593203297703;864.1077960989311;1221.230046098931;0;True;True
150-89-8043;A;Yangon;Normal;Male;Sports and travel;44.65;3;6.6975;140.6475;2/14/2019;15:04:00.0;Cash;133.95;4.761904762;6.6975;6.2;306.7614375;243.38191299792854;730.1457389937856;1036.9071764937855;0;True;True
151-16-1484;A;Yangon;Member;Male;Electronic accessories;32.25;4;6.45;135.45;2/13/2019;12:38:00.0;Ewallet;129.0;4.761904762;6.45;6.5;116.7796875;54.68483076485884;164.0544922945765;280.83417979457647;0;True;True
151-27-8496;C;Naypyitaw;Normal;Female;Electronic accessories;56.13;4;11.226;235.746;1/19/2019;11:43:00.0;Ewallet;224.52;4.761904762;11.226;8.6;307.17028125;192.9837166062609;578.9511498187827;886.1214310687827;0;True;True
151-33-7434;B;Mandalay;Normal;Female;Food and beverages;67.77;1;3.3885;71.1585;2/4/2019;20:43:00.0;Credit card;67.77;4.761904762;3.3885;6.5;221.77240909090912;220.48423212713175;661.4526963813953;883.2251054723044;0;True;True
152-03-4217;B;Mandalay;Normal;Female;Home and lifestyle;11.28;9;5.0760000000000005;106.596;3/17/2019;11:55:00.0;Credit card;101.52;4.761904762;5.076;4.3;329.3815;273.3553515237995;820.0660545713986;1149.4475545713985;0;True;True
152-08-9985;B;Mandalay;Member;Male;Health and beauty;64.36;9;28.962000000000003;608.202;3/12/2019;12:09:00.0;Credit card;579.24;4.761904762;28.962;8.6;306.462625;211.61838859329754;634.8551657798926;941.3177907798926;0;True;True
152-68-2907;A;Yangon;Normal;Male;Food and beverages;52.2;3;7.830000000000002;164.43;2/15/2019;13:30:00.0;Credit card;156.6;4.761904762;7.83;9.5;359.5150263157895;282.0954066548464;846.2862199645392;1205.8012462803288;0;True;True
153-58-4872;C;Naypyitaw;Member;Female;Food and beverages;74.89;4;14.978000000000002;314.538;3/1/2019;15:32:00.0;Ewallet;299.56;4.761904762;14.978;4.2;263.4366;255.91559115868657;767.7467734760597;1031.1833734760598;0;True;True
154-74-7179;B;Mandalay;Normal;Male;Sports and travel;54.45;1;2.7225;57.1725;2/26/2019;19:24:00.0;Ewallet;54.45;4.761904762;2.7225;7.9;267.5738333333333;215.94100684779048;647.8230205433714;915.3968538767047;0;True;True
154-87-7367;C;Naypyitaw;Normal;Male;Home and lifestyle;65.26;8;26.104000000000003;548.184;3/15/2019;14:04:00.0;Ewallet;522.08;4.761904762;26.104;6.3;245.20125;211.0398886756956;633.1196660270869;878.3209160270868;0;True;True
155-45-3814;C;Naypyitaw;Member;Female;Electronic accessories;88.55;8;35.42;743.82;3/19/2019;15:29:00.0;Ewallet;708.4;4.761904762;35.42;4.7;358.7745;318.91055418518215;956.7316625555464;1315.5061625555463;0;True;True
156-20-0370;B;Mandalay;Normal;Female;Electronic accessories;25.45;1;1.2725;26.7225;3/10/2019;18:10:00.0;Credit card;25.45;4.761904762;1.2725;5.1;263.6025;258.70254556308134;776.107636689244;1039.710136689244;0;True;True
156-95-3964;A;Yangon;Normal;Female;Food and beverages;55.39;4;11.078000000000001;232.638;3/25/2019;15:19:00.0;Ewallet;221.56;4.761904762;11.078;8.0;252.55183333333332;169.84542196877138;509.53626590631416;762.0880992396475;0;True;True
157-13-5295;A;Yangon;Member;Male;Health and beauty;51.94;10;25.97;545.37;3/9/2019;18:24:00.0;Ewallet;519.4;4.761904762;25.97;6.5;467.1279375;283.7113581800392;851.1340745401176;1318.2620120401175;0;True;True
160-22-2687;A;Yangon;Member;Female;Health and beauty;95.95;5;23.9875;503.7375;1/23/2019;14:21:00.0;Ewallet;479.75;4.761904762;23.9875;8.8;352.5992647058824;255.07323188168175;765.2196956450452;1117.8189603509277;0;True;True
162-48-8011;A;Yangon;Member;Female;Food and beverages;44.59;5;11.1475;234.0975;2/10/2019;15:10:00.0;Cash;222.95;4.761904762;11.1475;8.5;285.5475;228.16569276701088;684.4970783010326;970.0445783010326;0;True;True
162-65-8559;C;Naypyitaw;Member;Male;Food and beverages;68.98;1;3.4490000000000003;72.429;1/21/2019;20:13:00.0;Cash;68.98;4.761904762;3.449;4.8;299.01243750000003;218.19108074353375;654.5732422306012;953.5856797306012;0;True;True
163-56-7055;C;Naypyitaw;Member;Male;Fashion accessories;48.71;1;2.4355;51.1455;3/26/2019;19:20:00.0;Cash;48.71;4.761904762;2.4355;4.1;150.96253846153846;130.5406062347813;391.6218187043439;542.5843571658824;0;True;True
166-19-2553;A;Yangon;Member;Male;Sports and travel;89.06;6;26.718000000000004;561.078;1/18/2019;17:26:00.0;Cash;534.36;4.761904762;26.718;9.9;308.9415;264.51673445088966;793.550203352669;1102.491703352669;0;True;True
169-52-4504;A;Yangon;Normal;Female;Electronic accessories;15.69;3;2.3535;49.4235;3/14/2019;14:13:00.0;Credit card;47.07;4.761904762;2.3535;5.8;400.813;294.51372163684044;883.5411649105213;1284.3541649105214;0;True;True
172-42-8274;B;Mandalay;Normal;Female;Electronic accessories;38.27;2;3.8270000000000004;80.367;3/2/2019;18:18:00.0;Credit card;76.54;4.761904762;3.827;5.8;364.46141666666665;325.9668589930149;977.9005769790447;1342.3619936457112;0;True;True
173-50-1108;B;Mandalay;Member;Female;Sports and travel;20.18;4;4.0360000000000005;84.756;2/13/2019;12:14:00.0;Credit card;80.72;4.761904762;4.036;5.0;116.7796875;54.68483076485884;164.0544922945765;280.83417979457647;0;True;True
173-57-2300;C;Naypyitaw;Member;Male;Sports and travel;72.88;2;7.288;153.048;3/13/2019;12:51:00.0;Cash;145.76;4.761904762;7.288;6.1;206.3607;145.04503717604408;435.13511152813226;641.4958115281322;0;True;True
173-82-9529;B;Mandalay;Normal;Female;Fashion accessories;37.95;10;18.975;398.475;1/26/2019;14:51:00.0;Cash;379.5;4.761904762;18.975;9.7;262.2066176470588;203.91742189261083;611.7522656778325;873.9588833248913;0;True;True
174-36-3675;C;Naypyitaw;Member;Male;Food and beverages;99.37;2;9.937000000000001;208.677;2/14/2019;17:29:00.0;Cash;198.74;4.761904762;9.937;5.2;306.7614375;243.38191299792854;730.1457389937856;1036.9071764937855;0;True;True
174-64-0215;B;Mandalay;Normal;Male;Sports and travel;69.74;10;34.87;732.27;3/5/2019;17:49:00.0;Credit card;697.4;4.761904762;34.87;8.9;366.5222647058823;250.589063318259;751.767189954777;1118.2894546606594;0;True;True
174-75-0888;B;Mandalay;Normal;Male;Electronic accessories;21.58;9;9.710999999999999;203.931;3/14/2019;12:32:00.0;Cash;194.22;4.761904762;9.711;7.3;400.813;294.51372163684044;883.5411649105213;1284.3541649105214;0;True;True
175-54-2529;A;Yangon;Member;Male;Food and beverages;22.17;8;8.868;186.228;3/3/2019;17:01:00.0;Credit card;177.36;4.761904762;8.868;9.6;346.65524999999997;267.7008714939228;803.1026144817685;1149.7578644817684;0;True;True
176-64-7711;B;Mandalay;Normal;Male;Food and beverages;32.32;3;4.848000000000001;101.808;3/27/2019;19:11:00.0;Credit card;96.96;4.761904762;4.848;4.3;290.28195;278.0149164361959;834.0447493085877;1124.3266993085876;0;True;True
176-78-1170;C;Naypyitaw;Member;Male;Health and beauty;33.81;3;5.0715;106.5015;1/26/2019;15:11:00.0;Ewallet;101.43;4.761904762;5.0715;7.3;262.2066176470588;203.91742189261083;611.7522656778325;873.9588833248913;0;True;True
181-82-6255;B;Mandalay;Normal;Female;Home and lifestyle;16.37;6;4.9110000000000005;103.131;2/8/2019;10:58:00.0;Cash;98.22;4.761904762;4.911;7.0;423.721375;374.95216288179074;1124.8564886453723;1548.5778636453724;0;True;True
181-94-6432;C;Naypyitaw;Member;Male;Fashion accessories;69.33;2;6.933;145.593;2/5/2019;19:05:00.0;Ewallet;138.66;4.761904762;6.933;9.7;252.594125;217.60107099086005;652.8032129725801;905.3973379725801;0;True;True
182-52-7000;A;Yangon;Member;Female;Sports and travel;27.04;4;5.408;113.568;1/1/2019;20:26:00.0;Ewallet;108.16;4.761904762;5.408;6.9;395.43175;263.0563902816709;789.1691708450126;1184.6009208450125;0;True;True
182-69-8360;B;Mandalay;Normal;Female;Electronic accessories;23.65;4;4.7299999999999995;99.33;1/30/2019;13:32:00.0;Credit card;94.6;4.761904762;4.73;4.0;284.2513333333333;327.1937582199002;981.5812746597005;1265.832607993034;0;True;True
182-88-2763;B;Mandalay;Member;Male;Food and beverages;79.91;3;11.9865;251.7165;3/20/2019;19:28:00.0;Credit card;239.73;4.761904762;11.9865;5.0;363.8803;265.86313660669464;797.5894098200839;1161.4697098200838;0;True;True
183-21-3799;C;Naypyitaw;Normal;Female;Electronic accessories;77.63;9;34.9335;733.6035;2/19/2019;15:14:00.0;Ewallet;698.67;4.761904762;34.9335;7.2;469.79099999999994;277.79071324413906;833.3721397324172;1303.1631397324172;0;True;True
183-56-6882;C;Naypyitaw;Member;Female;Food and beverages;99.42;4;19.884;417.564;2/6/2019;10:42:00.0;Ewallet;397.68;4.761904762;19.884;7.5;223.49411538461538;115.00471730019633;345.014151900589;568.5082672852044;0;True;True
186-09-3669;C;Naypyitaw;Member;Female;Health and beauty;81.51;1;4.075500000000001;85.5855;1/22/2019;10:57:00.0;Ewallet;81.51;4.761904762;4.0755;9.2;243.53849999999997;223.68056157386582;671.0416847215974;914.5801847215974;0;True;True
186-43-8965;A;Yangon;Member;Female;Home and lifestyle;47.68;2;4.768;100.128;2/24/2019;10:10:00.0;Credit card;95.36;4.761904762;4.768;4.1;302.4956666666667;214.73348920056694;644.2004676017008;946.6961342683675;0;True;True
186-71-5196;A;Yangon;Member;Female;Food and beverages;79.54;2;7.954000000000001;167.034;3/27/2019;16:30:00.0;Ewallet;159.08;4.761904762;7.954;6.2;290.28195;278.0149164361959;834.0447493085877;1124.3266993085876;0;True;True
186-79-9562;B;Mandalay;Normal;Male;Health and beauty;71.77;7;25.119500000000002;527.5095;3/29/2019;14:06:00.0;Cash;502.39;4.761904762;25.1195;8.9;502.905375;309.06076810657316;927.1823043197195;1430.0876793197194;0;True;True
187-83-5490;A;Yangon;Member;Male;Electronic accessories;20.77;4;4.154;87.234;1/31/2019;13:47:00.0;Cash;83.08;4.761904762;4.154;4.7;373.74975;289.47646719763105;868.4294015928931;1242.179151592893;0;True;True
188-55-0967;B;Mandalay;Member;Male;Health and beauty;66.47;10;33.23500000000001;697.935;1/15/2019;15:01:00.0;Credit card;664.7;4.761904762;33.235;5.0;457.25076923076927;309.71964871931726;929.1589461579517;1386.409715388721;0;True;True
189-08-9157;C;Naypyitaw;Normal;Female;Fashion accessories;31.73;9;14.278500000000001;299.8485;1/8/2019;16:17:00.0;Credit card;285.57;4.761904762;14.2785;5.9;294.09625;237.65808106409125;712.9742431922738;1007.0704931922737;0;True;True
189-17-4241;A;Yangon;Normal;Female;Fashion accessories;87.67;2;8.767000000000001;184.107;3/10/2019;12:17:00.0;Credit card;175.34;4.761904762;8.767;7.7;263.6025;258.70254556308134;776.107636689244;1039.710136689244;0;True;True
189-40-5216;C;Naypyitaw;Normal;Male;Electronic accessories;96.37;7;33.7295;708.3195;1/9/2019;11:40:00.0;Cash;674.59;4.761904762;33.7295;6.0;377.6679375;329.3577707873783;988.0733123621349;1365.7412498621347;0;True;True
189-52-0236;A;Yangon;Normal;Male;Electronic accessories;99.55;7;34.8425;731.6925;3/14/2019;12:07:00.0;Cash;696.85;4.761904762;34.8425;7.6;400.813;294.51372163684044;883.5411649105213;1284.3541649105214;0;True;True
189-55-2313;C;Naypyitaw;Normal;Female;Fashion accessories;62.18;10;31.09;652.89;1/31/2019;10:33:00.0;Ewallet;621.8;4.761904762;31.09;6.0;373.74975;289.47646719763105;868.4294015928931;1242.179151592893;0;True;True
189-98-2939;C;Naypyitaw;Normal;Male;Fashion accessories;78.55;9;35.3475;742.2975;3/1/2019;13:22:00.0;Cash;706.95;4.761904762;35.3475;7.2;263.4366;255.91559115868657;767.7467734760597;1031.1833734760598;0;True;True
190-14-3147;B;Mandalay;Normal;Female;Health and beauty;17.97;4;3.594;75.474;2/23/2019;20:43:00.0;Ewallet;71.88;4.761904762;3.594;6.4;292.448625;220.10181144898604;660.3054343469581;952.7540593469581;0;True;True
190-59-3964;B;Mandalay;Member;Male;Food and beverages;47.16;5;11.79;247.59;2/3/2019;14:35:00.0;Credit card;235.8;4.761904762;11.79;6.0;390.56624999999997;254.39204580844464;763.1761374253339;1153.7423874253338;0;True;True
191-10-6171;B;Mandalay;Normal;Female;Fashion accessories;39.62;7;13.866999999999999;291.207;1/25/2019;13:18:00.0;Cash;277.34;4.761904762;13.867;7.5;276.4921764705882;235.52323437627263;706.5697031288179;983.0618795994061;0;True;True
191-29-0321;B;Mandalay;Member;Female;Fashion accessories;19.77;10;9.885;207.585;2/27/2019;18:57:00.0;Credit card;197.7;4.761904762;9.885;5.0;418.53225000000003;274.8138482604564;824.4415447813692;1242.9737947813692;0;True;True
192-98-7397;C;Naypyitaw;Normal;Male;Fashion accessories;12.78;1;0.639;13.419;1/8/2019;14:11:00.0;Ewallet;12.78;4.761904762;0.639;9.5;294.09625;237.65808106409125;712.9742431922738;1007.0704931922737;0;True;True
195-06-0432;A;Yangon;Member;Male;Home and lifestyle;81.01;3;12.151500000000002;255.1815;1/13/2019;12:55:00.0;Credit card;243.03;4.761904762;12.1515;9.3;245.12040000000002;145.98042163283404;437.94126489850214;683.0616648985022;0;True;True
196-01-2849;C;Naypyitaw;Member;Female;Fashion accessories;73.38;7;25.683;539.343;2/10/2019;13:56:00.0;Cash;513.66;4.761904762;25.683;9.5;285.5475;228.16569276701088;684.4970783010326;970.0445783010326;0;True;True
197-77-7132;B;Mandalay;Member;Male;Electronic accessories;91.56;8;36.624;769.104;1/12/2019;18:22:00.0;Ewallet;732.48;4.761904762;36.624;6.0;471.34213636363637;362.11998213514056;1086.3599464054216;1557.702082769058;0;True;True
198-66-9832;B;Mandalay;Member;Female;Fashion accessories;72.04;2;7.204000000000001;151.284;2/4/2019;19:38:00.0;Cash;144.08;4.761904762;7.204;9.5;221.77240909090912;220.48423212713175;661.4526963813953;883.2251054723044;0;True;True
198-84-7132;B;Mandalay;Member;Male;Fashion accessories;40.61;9;18.2745;383.7645;1/2/2019;13:40:00.0;Cash;365.49;4.761904762;18.2745;7.0;243.18787500000002;111.5150079030845;334.5450237092535;577.7328987092535;0;True;True
